25	25-114	25-27	25-83
26	SBE	SAD	SBD	SBD	SBD	SAC	SAC	26-100
27	PFD	112-124	27-109	27-112
30	30-31	30-33	30-42
33	31-33	31-39	33-37
36	36-123	36-38
43	42-43	43-86
45	45-123	45-46	45-50
50	SUF	SUF	SUF	37-50	47-50
52	52-75
56	PUF	PUF	PUF	36-56	56-57	56-58
69	SEE	SEC	SEC	SFC	SFC	69-127	69-82	69-93
70	SFD	SFB	SFB	FSC	FSB	70-81
75	PBE	75-128	75-97
80	79-80	80-96
81	FB	FB	FB	FPC	FPB	81-89
83	83-114	83-85	9-116	9-12	9-83
84	84-86	84-88
85	PDC	PDC	PDC	12-85
86	PUA	PUA	PUA	57-86	84-85	86-120
88	88-110	88-119
90	SED	SED	SED	47-90	69-90
92	PAD	73-75	73-91	75-92	81-92
93	SDC	SDC	SDC	SEB	SDB	SDB	SDA	SDA	60-93	67-93	93-127
96	58-96	75-96	96-97
97	PCC	PCC	PCC	78-129	78-79	78-97	80-97	97-128
99	SCC	SCC	SCC	99-101	99-102
100	SBC	SBC	SBB	SCB	SCB	SCA	SCA	10-100	100-115	98-100
101	SUA	SUA	SUA	101-121	44-101
102	102-111	102-119	26-115
109	SAB	SAB	ASC	AB	AB	AB	ASB	APC	APB	109-111	109-113	110-119
116	APA	APA	112-116	114-116	116-124
117	SBA	SBA	SAA	SAA	115-117	117-124
119	118-119	119-120	119-121
122	45-122	46-122	47-122	54-122	55-122	58-122	82-122	92-122
124	ASA	ASA	AA	AA	AA
125	SEA	SEA	SFA	SFA	125-126	125-127
126	FSA	FSA	FA	FA	FA	91-126
129	FPA	FPA	126-129	128-129
