xn,yn,zn
1524882.0,2149529.2,-8645321.0
1513416.6,2135659.2,-8642195.0
1501951.4,2121789.0,-8639070.0
1490486.1,2107918.8,-8635944.0
1479020.9,2094048.8,-8632818.0
1467555.5,2080178.5,-8629692.0
1456090.2,2066308.4,-8626567.0
1444625.0,2052438.2,-8623441.0
1433159.8,2038568.1,-8620315.0
1421694.5,2024698.0,-8617190.0
1410229.1,2010827.8,-8614064.0
1398763.9,1996957.6,-8610938.0
1387298.6,1983087.5,-8607812.0
1375833.2,1969217.2,-8604687.0
1364368.0,1955347.2,-8601561.0
1352902.8,1941477.0,-8598435.0
1341437.5,1927606.9,-8595310.0
1329972.2,1913736.8,-8592184.0
1318507.0,1899866.5,-8589058.0
1307041.8,1885996.5,-8585932.0
1295576.4,1872126.2,-8582807.0
1284111.1,1858256.1,-8579681.0
1272645.8,1844386.0,-8576555.0
1261180.5,1830515.8,-8573429.0
1249715.2,1816645.6,-8570304.0
1238250.0,1802775.5,-8567178.0
1226784.8,1788905.4,-8564052.0
1215319.5,1775035.2,-8560927.0
1203854.1,1761165.0,-8557801.0
1192388.9,1747294.9,-8554675.0
1180923.6,1733424.8,-8551549.0
1169458.4,1719554.6,-8548424.0
1157993.0,1705684.5,-8545298.0
1146527.8,1691814.2,-8542172.0
1135062.5,1677944.1,-8539046.0
1123597.2,1664074.0,-8535921.0
1112132.0,1650203.8,-8532795.0
1100666.6,1636333.6,-8529669.0
1089201.4,1622463.5,-8526544.0
1077736.1,1608593.4,-8523418.0
1066270.9,1594723.2,-8520292.0
1054805.5,1580853.0,-8517166.0
1043340.3,1566983.0,-8514041.0
1031875.0,1553112.8,-8510915.0
1020409.7,1539242.5,-8507789.0
1008944.44,1525372.5,-8504664.0
997479.1,1511502.2,-8501538.0
986013.9,1497632.1,-8498412.0
974548.6,1483762.0,-8495286.0
963083.4,1469891.9,-8492161.0
951618.06,1456021.8,-8489035.0
940152.8,1442151.5,-8485909.0
928687.5,1428281.4,-8482784.0
917222.2,1414411.2,-8479658.0
905756.94,1400541.0,-8476532.0
894291.6,1386670.9,-8473406.0
882826.4,1372800.8,-8470281.0
871361.1,1358930.6,-8467155.0
859895.9,1345060.5,-8464029.0
848430.56,1331190.2,-8460903.0
836965.3,1317320.2,-8457778.0
825500.0,1303450.0,-8454652.0
814034.75,1289579.9,-8451526.0
802569.44,1275709.8,-8448401.0
791104.2,1261839.5,-8445275.0
779638.9,1247969.4,-8442149.0
768173.6,1234099.2,-8439023.0
756708.3,1220229.0,-8435898.0
745243.06,1206359.0,-8432772.0
733777.75,1192488.8,-8429646.0
722312.5,1178618.6,-8426520.0
710847.25,1164748.5,-8423395.0
699381.94,1150878.2,-8420269.0
687916.7,1137008.2,-8417143.0
676451.4,1123138.0,-8414018.0
664986.1,1109267.9,-8410892.0
653520.8,1095397.6,-8407766.0
642055.56,1081527.6,-8404640.0
630590.25,1067657.4,-8401515.0
619125.0,1053787.2,-8398389.0
607659.75,1039917.1,-8395263.0
596194.4,1026046.9,-8392138.0
584729.25,1012176.9,-8389012.0
573263.9,998306.6,-8385886.0
561798.6,984436.5,-8382760.5
550333.25,970566.25,-8379634.5
538868.1,956696.25,-8376509.0
527402.75,942826.0,-8373383.0
515937.5,928955.9,-8370257.5
504472.25,915085.75,-8367132.0
493006.88,901215.5,-8364006.0
481541.75,887345.5,-8360880.5
470076.38,873475.25,-8357754.5
458611.12,859605.1,-8354629.0
447145.75,845734.9,-8351503.0
435680.62,831864.9,-8348377.5
424215.25,817994.6,-8345251.5
412750.0,804124.5,-8342126.0
401284.75,790254.4,-8339000.5
389819.38,776384.1,-8335874.5
378354.25,762514.1,-8332749.0
366888.88,748643.9,-8329623.0
355423.62,734773.75,-8326497.5
343958.25,720903.5,-8323371.5
332493.12,707033.5,-8320246.0
321027.75,693163.25,-8317120.0
309562.5,679293.1,-8313994.5
298097.25,665423.0,-8310869.0
286631.88,651552.75,-8307743.0
275166.75,637682.75,-8304617.5
263701.38,623812.5,-8301491.5
252236.12,609942.4,-8298366.0
240770.75,596072.1,-8295240.0
229305.62,582202.1,-8292114.5
217840.25,568331.9,-8288988.5
206375.0,554461.75,-8285863.0
194909.75,540591.6,-8282737.5
183444.38,526721.4,-8279611.5
171979.25,512851.38,-8276486.0
160513.88,498981.12,-8273360.0
149048.62,485111.0,-8270234.5
137583.25,471240.75,-8267108.5
126118.125,457370.75,-8263983.0
114652.75,443500.5,-8260857.0
103187.5,429630.38,-8257731.5
91722.25,415760.25,-8254606.0
80256.875,401890.0,-8251480.0
68791.75,388020.0,-8248354.5
57326.375,374149.75,-8245228.5
45861.125,360279.62,-8242103.0
34395.75,346409.38,-8238977.0
22930.625,332539.38,-8235851.5
11465.25,318669.12,-8232725.5
0.0,304799.0,-8229600.0
457200.0,1.0427199E7,2514779.0
464255.56,1.0412817E7,2524949.8
471311.12,1.0398434E7,2535120.5
478366.66,1.0384052E7,2545291.2
485422.22,1.036967E7,2555462.2
492477.78,1.0355288E7,2565633.0
499533.34,1.0340905E7,2575803.8
506588.88,1.0326523E7,2585974.5
513644.44,1.0312141E7,2596145.2
520700.0,1.0297758E7,2606316.0
527755.56,1.0283376E7,2616486.8
534811.1,1.0268994E7,2626657.8
541866.7,1.0254611E7,2636828.5
548922.25,1.0240229E7,2646999.2
555977.75,1.0225847E7,2657170.0
563033.3,1.0211465E7,2667340.8
570088.9,1.0197082E7,2677511.5
577144.44,1.01827E7,2687682.5
584200.0,1.0168318E7,2697853.2
591255.56,1.0153935E7,2708024.0
598311.1,1.0139553E7,2718194.8
605366.7,1.0125171E7,2728365.5
612422.25,1.0110788E7,2738536.2
619477.75,1.0096406E7,2748707.0
626533.3,1.0082024E7,2758878.0
633588.9,1.0067642E7,2769048.8
640644.44,1.0053259E7,2779219.5
647700.0,1.0038877E7,2789390.2
654755.56,1.0024495E7,2799561.0
661811.1,1.0010112E7,2809731.8
668866.7,9995730.0,2819902.5
675922.25,9981348.0,2830073.5
682977.75,9966966.0,2840244.2
690033.3,9952583.0,2850415.0
697088.9,9938201.0,2860585.8
704144.44,9923819.0,2870756.5
711200.0,9909436.0,2880927.2
718255.56,9895054.0,2891098.0
